system_time,camera_time,pos_x_cm,pos_y_cm,pos_z_cm,roll_deg,pitch_deg,yaw_deg,detection_confidence
1742380397.730937,8881.854895,96.63464276136446,-281.617759497918,2287.621910932758,-169.86493477229223,-10.141863146667566,-61.182485638637175,0.016989380470637673
1742380397.903902,8882.026962,98.15844416915809,-270.1209438673712,2280.968467264445,-167.96427831335498,-13.386856363092154,-61.94059267373434,0.017127825045079585
1742380398.0906012,8882.198955,100.2100593468225,-289.77858589283915,2404.803168268775,-175.64657032477436,-17.807771709519603,-54.51372486599617,0.018139467360736006
1742380398.2553613,8882.374908,121.28839895268048,-356.01085803844893,2748.26451169079,-172.96880253511586,-18.081721810026373,-50.66827745992884,0.020764108154211904
1742380398.4280617,8882.546946,142.88338257221739,-379.58427806314364,3286.416040171677,-173.9906272292469,-21.80520661118435,-44.144280868684504,0.02491638586180637
1742380398.595887,8882.718938999998,67.02674885911752,-407.7443891093283,3658.4549607968947,178.57343880686332,-29.219134962654515,-37.700336463310805,0.028382388765881887
1742380398.7750833,8882.890954,11.436252539618856,-416.10596169881404,4089.8824749854725,174.9815551033107,-28.025098119279757,-31.674512635600667,0.03135466871117581
1742380398.9521651,8883.066899,-65.43792704194261,-359.60982683587963,4331.755422264614,172.86470218312908,-30.566519061940713,-32.15480955791815,0.03336056282714684
1742380399.1332643,8883.238948,-51.0537958352552,-412.14910916465533,4368.891038033102,170.1750613129026,-33.60210185862723,-30.89321789456818,0.03444357893728583
1742380399.2930884,8883.410952,20.50103157876087,-417.6424554445647,4325.363289575401,167.76893233666138,-32.24694051285196,-23.979853729258345,0.034107650450188355
1742380399.472321,8883.586895,10.899386254582023,-394.9531547079555,4368.95506295928,158.5843571933635,-18.59636894682727,-2.4570810370139697,0.03339487821800902
1742380399.6367943,8883.758929,27.16952084865058,-410.6530917900063,4229.755432766344,146.845465809167,0.03748196641026678,31.729853474515313,0.03318142395172654
1742380399.8091388,8883.930946,99.05860758977667,-370.8116105209142,4249.228039935368,147.3733137952494,6.0910884678370145,38.84719432626267,0.03334636349678365
1742380399.9907928,8884.106908,110.1688906212611,-370.5618340939186,4198.086982375377,149.39133208455368,11.004319754307087,42.73777658292242,0.03293156904522457
1742380400.1567025,8884.278945,75.60647351716267,-362.5484623374278,4215.545476162743,152.83229362065217,6.582830715172976,50.04742616306109,0.032197520310449416
1742380400.3411872,8884.450938999998,-104.95966295576007,-297.98999994693827,4243.468940058965,-179.24761714703808,-19.32530372926067,68.00725741277911,0.030474450921293438
1742380400.515254,8884.622938999999,-537.2672440117266,-277.18242561825093,3703.192415073359,158.4052534732567,-37.42261126780214,88.08767228158098,0.028910822820960216
1742380400.6994395,8884.798898000001,-1033.6946331814845,-276.02802705534566,3716.155846615989,179.04710136236932,19.789424477039034,76.84110777050832,0.029327689698221627
1742380400.8561647,8884.971032,-1329.7379817985375,-248.44528113543385,3740.5673719049096,-179.45161886030837,14.278374265237465,78.36861941171784,0.030064364328569335
1742380401.208882,8885.318895999999,-1435.9004085235379,-178.5914931145912,3888.1037278117014,178.65657429051623,-1.4390545027108186,76.12948390140942,0.030216437172866296
1742380401.3795338,8885.490921,-1106.871633844085,-184.688133431853,3759.2065479816183,-173.15540544243436,-18.584869788144136,75.4262176076511,0.029101915319536684
1742380401.5499072,8885.662933,-634.3547733847635,-206.4300156692668,3553.9227718067955,-165.76713298270494,-24.960266109583657,73.07087425509212,0.027337184646651892
1742380401.7105923,8885.838896,-165.52389906344362,-258.9298448355968,3342.7246327941875,-151.39129744025917,-24.850232329243905,69.4760407090839,0.026113622308785934
1742380401.8978813,8886.010900000001,279.35917564350945,-254.3664867457813,3369.2717950658616,-145.83997559754894,-19.200954421631636,70.79922616193025,0.02602107382987357
1742380402.071758,8886.182946,628.6248472171911,-225.66864276837615,3346.7293126158374,157.2637758789588,8.887390769986933,77.02893609193205,0.026576626125781336
1742380402.2401147,8886.35494,852.2226345803264,-209.89701669094995,3453.342177137644,158.71943998217364,0.6095405444418867,79.84445668982849,0.02774078686376216
1742380402.4236221,8886.530897,847.1056833240533,-189.9707122844815,3528.685536724845,164.39562512306995,-6.105103573789352,84.13649822029659,0.027555550696856567
1742380402.583585,8886.702905999999,675.3741048565134,-109.16692329399196,3437.0143171575405,161.46298299634515,-8.704232099928578,83.25651723485038,0.026698331283002575
1742380402.8021877,8886.874947,666.8727628133179,-138.65850834910412,3752.6652562984063,172.61049726033824,1.1942530049657134,80.72985854341454,0.027681503052901974
1742380402.940271,8887.050892000001,683.470087297955,-500.1307043536844,3853.7792288153555,174.06869714694992,6.662324710462521,82.10857230371589,0.028938774352207573
1742380403.1056144,8887.222897,506.77332498206107,-704.660805694783,3716.565202714863,173.25800173523226,-4.3259228826394756,82.12867670899067,0.027691401187393053
1742380403.2783198,8887.394934,40.35806224927479,-561.9339375257086,3325.7657793171425,-163.06737900984854,17.424703207808665,86.21003428157073,0.025713238692586023
1742380403.4529696,8887.570896,-252.084196291956,-143.5338081942501,3077.319492899573,144.63869998161232,-16.97661735572759,81.68634315929772,0.023846788314906345
1742380403.6273658,8887.74291,-587.9478158220104,56.71548955856124,3633.9975482942614,160.07153505087422,-22.524596521297514,83.77996781656466,0.027177576011609025
1742380403.8047874,8887.914893,-911.7968742607366,-205.74531699266382,3777.745098365823,173.19633143214352,22.838151008497206,74.33216350393361,0.02936121131125254
1742380404.3277133,8888.434989,-1488.6950729732944,-273.73723823017446,3405.130351541008,-166.00313225973645,5.370372118213731,76.34001626560443,0.029687082046939164
1742380404.4904997,8888.607068,-1611.0886704058278,-302.2218210366776,3942.6244989664033,-179.76955514405685,-11.240560799862275,74.98817456670034,0.03134481980172259
1742380404.8753083,8888.954904999999,-610.157528060968,-495.9307476252631,3277.990867758689,-161.0547938960795,-25.992381218244127,71.59156996690332,0.025615917390855274
1742380405.0069408,8889.126903999999,-255.60738198295388,-296.9729256593828,3009.014063864887,-154.50494311224998,-12.001038612486438,74.91093647283776,0.022951606504764615
1742380405.1831355,8889.302893999999,-112.8590939995316,-92.16451045451043,3111.237853582369,-159.4823626531529,-8.37767432988041,74.77986320336795,0.022980074070905254
1742380405.3522975,8889.474945,57.68078388736099,-112.89555771898556,3280.113233105595,-161.18888930318636,-16.368344289006338,72.8554160044182,0.024185439911991215
1742380405.5260322,8889.646907,295.55611687166817,-222.6188066704914,3229.3659606265755,163.027301998562,13.080394821258327,73.47717055529829,0.024455875795079046
1742380405.6961234,8889.818924000001,610.0881925327134,-219.23957477125904,3061.763370406502,157.20919050282407,8.738858879640803,73.44730050085863,0.024495373478196514
1742380405.876565,8889.994971,818.075993935425,-32.09376462671679,2911.1273207143277,153.98968309296262,-2.718865154254673,78.44897880542622,0.02442676164637626
1742380406.049781,8890.166902,973.3869052996838,211.96818846165192,3196.411044396218,159.0558621170151,-6.048668021205663,81.8759614828824,0.02670307699015055
1742380406.219643,8890.338924,1220.5250145853174,265.7077878270356,3572.485379037765,166.40380105681447,-5.9000501385940565,82.53815529241429,0.02942950912722977
1742380406.3911815,8890.514885,1039.0869632533675,154.7175569764291,3349.801642974877,163.99316237566484,-18.655915463064183,86.90867551996679,0.028221213299875474
1742380406.5630167,8890.686944000001,493.11275815983305,127.02222723353816,3144.8829692111267,160.18352632092967,-26.76848964986293,93.80680458976242,0.025632676656354693
1742380406.7413096,8890.858903,-102.96364608012607,101.09298903918504,3161.4350485596083,156.42060646479115,-28.28273246414869,96.3563346971094,0.02482140535641428
1742380406.9109674,8891.034889,-504.4679911773584,149.99869372865442,3474.649259839939,-172.57893274111208,0.7083882101540483,81.18856980409062,0.02533915027470143
1742380407.088901,8891.20698,-192.20501401515406,398.63193282827535,3327.4848221772354,-159.54642948526936,-10.953506550484684,73.55467412038968,0.025472498206244212
1742380407.2724485,8891.378884,157.3383343012934,375.8953127409424,3434.8357619669982,-169.1565602539951,-16.16111242245472,74.4868530728977,0.025657069440492782
1742380407.4394498,8891.550916999999,281.4067733006196,110.47258873508743,3398.7444466910697,-177.02850288947084,-24.965972539877566,78.6864323077167,0.02558932695162008
1742380407.611358,8891.726904,66.02766002047315,-169.8788145065212,3242.514106203832,171.46074548388137,-32.597185815282614,85.4081342683238,0.024751651642861798
1742380407.7837121,8891.898943,-379.6138861421672,-234.8270454823714,3124.6395025568836,149.5008483707908,-28.10557495662219,91.69568012902872,0.024261281893117423
1742380407.959677,8892.07089,-643.7879511448185,122.983255490506,3092.6348506055897,-158.82520414471554,6.536887332446293,77.80225097111985,0.024361054800664115
1742380408.1248548,8892.246888,-368.7286162026994,614.8438683484497,3201.3671764508663,-154.68604536220312,-9.689292504637052,67.77795644231682,0.02608448881192111
1742380408.3138325,8892.418945,189.1933538522963,708.5154257590491,3477.969807996907,-166.91915898045045,-17.930737296698503,71.10182269409978,0.027263023110503937
1742380408.4830513,8892.590892,520.626198808991,393.9165488948022,3513.8169416083288,-174.32548732071388,-19.236281288084054,75.97667832545102,0.026791277831654536
